ISO2,Country,Region,Income,Year,GDP,Population
MT,Malta,Middle East & North Africa,High income,2001,4331870648,393028
ME,Montenegro,Europe & Central Asia,Upper middle income,2001,1159869246,607389
NL,Netherlands,Europe & Central Asia,High income,2001,4.26574E+11,16046180
NO,Norway,Europe & Central Asia,High income,2001,1.74003E+11,4513751
NZ,New Zealand,East Asia & Pacific,High income,2001,53872425917,3880500
PE,Peru,Latin America & Caribbean,Upper middle income,2001,52030158775,26261363
PL,Poland,Europe & Central Asia,High income,2001,1.90521E+11,38248076
PT,Portugal,Europe & Central Asia,High income,2001,1.21546E+11,10362722
AR,Argentina,Latin America & Caribbean,High income,2001,2.68697E+11,37471509
QA,Qatar,Middle East & North Africa,High income,2001,17538461538,616886
CN,China,East Asia & Pacific,Upper middle income,2001,1.3394E+12,1271850000
RO,Romania,Europe & Central Asia,Upper middle income,2001,40732785326,22131970
RU,Russian Federation,Europe & Central Asia,Upper middle income,2001,3.06602E+11,145976083
SG,Singapore,East Asia & Pacific,High income,2001,89286208629,4138012
SK,Slovak Republic,Europe & Central Asia,High income,2001,30703017450,5378867
SI,Slovenia,Europe & Central Asia,High income,2001,20875387068,1992060
SE,Sweden,Europe & Central Asia,High income,2001,2.39917E+11,8895960
TH,Thailand,East Asia & Pacific,Upper middle income,2001,1.2142E+11,63543322
TT,Trinidad and Tobago,Latin America & Caribbean,High income,2001,8824873259,1272380
TN,Tunisia,Middle East & North Africa,Lower middle income,2001,22066101341,9785701
TR,Turkey,Europe & Central Asia,Upper middle income,2001,2.09794E+11,64191474
UY,Uruguay,Latin America & Caribbean,High income,2001,20898788417,3327103
US,United States,North America,High income,2001,1.06218E+13,284968955
VN,Vietnam,East Asia & Pacific,Lower middle income,2001,32685198735,81139919
AL,Albania,Europe & Central Asia,Upper middle income,2002,4348068242,3051010
AE,United Arab Emirates,Middle East & North Africa,High income,2002,1.09816E+11,3507232
AU,Australia,East Asia & Pacific,High income,2002,3.94487E+11,19651400
AT,Austria,Europe & Central Asia,High income,2002,2.13933E+11,8081957
BE,Belgium,Europe & Central Asia,High income,2002,2.5886E+11,10332785
BG,Bulgaria,Europe & Central Asia,Upper middle income,2002,16276456428,7837161
BR,Brazil,Latin America & Caribbean,Upper middle income,2002,5.07962E+11,180151021
CA,Canada,North America,High income,2002,7.57951E+11,31362000
CH,Switzerland,Europe & Central Asia,High income,2002,3.01417E+11,7284753
CL,Chile,Latin America & Caribbean,High income,2002,69736811435,15623635
CO,Colombia,Latin America & Caribbean,Upper middle income,2002,97933391976,41572491
CR,Costa Rica,Latin America & Caribbean,Upper middle income,2002,16504795593,4063204
CZ,Czech Republic,Europe & Central Asia,High income,2002,81910771994,10196916
DE,Germany,Europe & Central Asia,High income,2002,2.07914E+12,82488495
DK,Denmark,Europe & Central Asia,High income,2002,1.78635E+11,5375931
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,2002,27362875603,8832285
DZ,Algeria,Middle East & North Africa,Upper middle income,2002,56760288974,31995046
ES,Spain,Europe & Central Asia,High income,2002,7.05146E+11,41431558
EE,Estonia,Europe & Central Asia,High income,2002,7322069511,1379350
FI,Finland,Europe & Central Asia,High income,2002,1.39553E+11,5200598
FR,France,Europe & Central Asia,High income,2002,1.49429E+12,61805267
GB,United Kingdom,Europe & Central Asia,High income,2002,1.75581E+12,59370479
GE,Georgia,Europe & Central Asia,Lower middle income,2002,3395739837,3978515
GR,Greece,Europe & Central Asia,High income,2002,1.53831E+11,10902022
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,2002,1.66349E+11,6744100
HR,Croatia,Europe & Central Asia,High income,2002,26868450815,4302174
HU,Hungary,Europe & Central Asia,High income,2002,67716887203,10158608
ID,Indonesia,East Asia & Pacific,Lower middle income,2002,1.95661E+11,217508059
IE,Ireland,Europe & Central Asia,High income,2002,1.27945E+11,3931947
IS,Iceland,Europe & Central Asia,High income,2002,9207689916,287523
IL,Israel,Middle East & North Africa,High income,2002,1.21069E+11,6570000
IT,Italy,Europe & Central Asia,High income,2002,1.26651E+12,57059007
JO,Jordan,Middle East & North Africa,Upper middle income,2002,9582453032,5287488
JP,Japan,East Asia & Pacific,High income,2002,4.11512E+12,127445000
KR,"Korea, Rep.",East Asia & Pacific,High income,2002,6.0902E+11,47644736
XK,Kosovo,Europe & Central Asia,Lower middle income,2002,2406270658,1702310
LB,Lebanon,Middle East & North Africa,Upper middle income,2002,19152238806,3522837
LT,Lithuania,Europe & Central Asia,High income,2002,14278357284,3443067
LU,Luxembourg,Europe & Central Asia,High income,2002,23616328816,446175
LV,Latvia,Europe & Central Asia,High income,2002,9443021730,2310173
MO,"Macao SAR, China",East Asia & Pacific,High income,2002,7322677820,448896
MD,Moldova,Europe & Central Asia,Lower middle income,2002,1661818168,3623062
MX,Mexico,Latin America & Caribbean,Upper middle income,2002,7.72106E+11,104355608
MK,FYROM,Europe & Central Asia,Upper middle income,2002,4018365247,2048928
MT,Malta,Middle East & North Africa,High income,2002,4712065962,395969
ME,Montenegro,Europe & Central Asia,Upper middle income,2002,1284685051,609828
NL,Netherlands,Europe & Central Asia,High income,2002,4.65369E+11,16148929
NO,Norway,Europe & Central Asia,High income,2002,1.95418E+11,4538159
NZ,New Zealand,East Asia & Pacific,High income,2002,67108326598,3948500
PE,Peru,Latin America & Caribbean,Upper middle income,2002,54777553515,26601467
PL,Poland,Europe & Central Asia,High income,2002,1.98681E+11,38230364
PT,Portugal,Europe & Central Asia,High income,2002,1.34229E+11,10419631
AR,Argentina,Latin America & Caribbean,High income,2002,97724004252,37889370
QA,Qatar,Middle East & North Africa,High income,2002,19363736264,645659
CN,China,East Asia & Pacific,Upper middle income,2002,1.47055E+12,1280400000
RO,Romania,Europe & Central Asia,Upper middle income,2002,46174557556,21730496
RU,Russian Federation,Europe & Central Asia,Upper middle income,2002,3.4547E+11,145306046
SG,Singapore,East Asia & Pacific,High income,2002,91941192896,4175950
SK,Slovak Republic,Europe & Central Asia,High income,2002,35679148392,5376912
SI,Slovenia,Europe & Central Asia,High income,2002,23563576758,1994530
SE,Sweden,Europe & Central Asia,High income,2002,2.63926E+11,8924958
TH,Thailand,East Asia & Pacific,Upper middle income,2002,1.34301E+11,64073164
TT,Trinidad and Tobago,Latin America & Caribbean,High income,2002,9008273721,1277837
TN,Tunisia,Middle East & North Africa,Lower middle income,2002,23142294436,9864326
TR,Turkey,Europe & Central Asia,Upper middle income,2002,2.38428E+11,65143054
UY,Uruguay,Latin America & Caribbean,High income,2002,13606494599,3327773
US,United States,North America,High income,2002,1.09566E+13,287625193
VN,Vietnam,East Asia & Pacific,Lower middle income,2002,35911617058,81956496
AL,Albania,Europe & Central Asia,Upper middle income,2003,5694103600,3039616
AE,United Arab Emirates,Middle East & North Africa,High income,2003,1.24346E+11,3741932
AU,Australia,East Asia & Pacific,High income,2003,4.71838E+11,19895400
AT,Austria,Europe & Central Asia,High income,2003,2.62229E+11,8121423
BE,Belgium,Europe & Central Asia,High income,2003,3.19003E+11,10376133
BG,Bulgaria,Europe & Central Asia,Upper middle income,2003,20982685981,7775327
BR,Brazil,Latin America & Caribbean,Upper middle income,2003,5.5832E+11,182482149
CA,Canada,North America,High income,2003,8.8471E+11,31676000
CH,Switzerland,Europe & Central Asia,High income,2003,3.52915E+11,7339001
CL,Chile,Latin America & Caribbean,High income,2003,75643459840,15799542
CO,Colombia,Latin America & Caribbean,Upper middle income,2003,96056482970,42152151
CR,Costa Rica,Latin America & Caribbean,Upper middle income,2003,17195867468,4125971
CZ,Czech Republic,Europe & Central Asia,High income,2003,99627140274,10193998
DE,Germany,Europe & Central Asia,High income,2003,2.50573E+12,82534176
DK,Denmark,Europe & Central Asia,High income,2003,2.18096E+11,5390574
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,2003,21642882856,8967760
DZ,Algeria,Middle East & North Africa,Upper middle income,2003,67863829880,32403514
ES,Spain,Europe & Central Asia,High income,2003,9.07007E+11,42187645
EE,Estonia,Europe & Central Asia,High income,2003,9833870709,1370720
FI,Finland,Europe & Central Asia,High income,2003,1.71281E+11,5213014
FR,France,Europe & Central Asia,High income,2003,1.84048E+12,62244886
GB,United Kingdom,Europe & Central Asia,High income,2003,2.0384E+12,59647577
GE,Georgia,Europe & Central Asia,Lower middle income,2003,4005130652,3951736
GR,Greece,Europe & Central Asia,High income,2003,2.01924E+11,10928070
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,2003,1.61385E+11,6730800
HR,Croatia,Europe & Central Asia,High income,2003,34619215768,4303399
HU,Hungary,Europe & Central Asia,High income,2003,85324771841,10129552
ID,Indonesia,East Asia & Pacific,Lower middle income,2003,2.28498E+11,220545214
IE,Ireland,Europe & Central Asia,High income,2003,1.64285E+11,3996521
IS,Iceland,Europe & Central Asia,High income,2003,11316441660,289521
IL,Israel,Middle East & North Africa,High income,2003,1.26865E+11,6689700
IT,Italy,Europe & Central Asia,High income,2003,1.56965E+12,57313203
JO,Jordan,Middle East & North Africa,Upper middle income,2003,10195660790,5396774
JP,Japan,East Asia & Pacific,High income,2003,4.44566E+12,127718000
KR,"Korea, Rep.",East Asia & Pacific,High income,2003,6.80521E+11,47892330
XK,Kosovo,Europe & Central Asia,Lower middle income,2003,2790455728,1703466
LB,Lebanon,Middle East & North Africa,Upper middle income,2003,20082918740,3701464
LT,Lithuania,Europe & Central Asia,High income,2003,18660774965,3415213
LU,Luxembourg,Europe & Central Asia,High income,2003,29557325056,451630
LV,Latvia,Europe & Central Asia,High income,2003,11748433157,2287955
MO,"Macao SAR, China",East Asia & Pacific,High income,2003,8195033162,460147
MD,Moldova,Europe & Central Asia,Lower middle income,2003,1980901554,3612874
MX,Mexico,Latin America & Caribbean,Upper middle income,2003,7.29336E+11,105640453
MK,FYROM,Europe & Central Asia,Upper middle income,2003,4927529934,2053426
MT,Malta,Middle East & North Africa,High income,2003,5456583589,398582
ME,Montenegro,Europe & Central Asia,Upper middle income,2003,1707710053,612267
NL,Netherlands,Europe & Central Asia,High income,2003,5.71863E+11,16225302
NO,Norway,Europe & Central Asia,High income,2003,2.28752E+11,4564855
NZ,New Zealand,East Asia & Pacific,High income,2003,88250885550,4027200
PE,Peru,Latin America & Caribbean,Upper middle income,2003,58731030122,26937738
PL,Poland,Europe & Central Asia,High income,2003,2.17513E+11,38204570
PT,Portugal,Europe & Central Asia,High income,2003,1.64964E+11,10458821
AR,Argentina,Latin America & Caribbean,High income,2003,1.27587E+11,38309379
QA,Qatar,Middle East & North Africa,High income,2003,23533791209,688586
CN,China,East Asia & Pacific,Upper middle income,2003,1.66029E+12,1288400000
RO,Romania,Europe & Central Asia,Upper middle income,2003,59550055113,21574326
RU,Russian Federation,Europe & Central Asia,Upper middle income,2003,4.30348E+11,144648257
SG,Singapore,East Asia & Pacific,High income,2003,97001377569,4114826
SK,Slovak Republic,Europe & Central Asia,High income,2003,46815204515,5373374
SI,Slovenia,Europe & Central Asia,High income,2003,29697448108,1995733
SE,Sweden,Europe & Central Asia,High income,2003,3.31109E+11,8958229
TH,Thailand,East Asia & Pacific,Upper middle income,2003,1.52281E+11,64554952
TT,Trinidad and Tobago,Latin America & Caribbean,High income,2003,11305459802,1284052
TN,Tunisia,Middle East & North Africa,Lower middle income,2003,27492952176,9939678
TR,Turkey,Europe & Central Asia,Upper middle income,2003,3.11776E+11,66085803
UY,Uruguay,Latin America & Caribbean,High income,2003,12045631093,3325637
US,United States,North America,High income,2003,1.15107E+13,290107933
VN,Vietnam,East Asia & Pacific,Lower middle income,2003,39552513316,82747662
AL,Albania,Europe & Central Asia,Upper middle income,2004,7184685782,3026939
AE,United Arab Emirates,Middle East & North Africa,High income,2004,1.48201E+11,4087931
AU,Australia,East Asia & Pacific,High income,2004,6.11904E+11,20127400
AT,Austria,Europe & Central Asia,High income,2004,3.00706E+11,8171966
BE,Belgium,Europe & Central Asia,High income,2004,3.70885E+11,10421137
BG,Bulgaria,Europe & Central Asia,Upper middle income,2004,25957970922,7716860
BR,Brazil,Latin America & Caribbean,Upper middle income,2004,6.78515E+11,184738458
CA,Canada,North America,High income,2004,1.0232E+12,31995000
CH,Switzerland,Europe & Central Asia,High income,2004,3.94164E+11,7389625
CL,Chile,Latin America & Caribbean,High income,2004,99210392858,15973778
CO,Colombia,Latin America & Caribbean,Upper middle income,2004,1.17075E+11,42724163
CR,Costa Rica,Latin America & Caribbean,Upper middle income,2004,18529767918,4187038
CZ,Czech Republic,Europe & Central Asia,High income,2004,1.19162E+11,10197101
DE,Germany,Europe & Central Asia,High income,2004,2.81925E+12,82516260
DK,Denmark,Europe & Central Asia,High income,2004,2.51373E+11,5404523
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,2004,22692574473,9102998
DZ,Algeria,Middle East & North Africa,Upper middle income,2004,85324998814,32831096
ES,Spain,Europe & Central Asia,High income,2004,1.06956E+12,42921895
EE,Estonia,Europe & Central Asia,High income,2004,12059201242,1362550
FI,Finland,Europe & Central Asia,High income,2004,1.96768E+11,5228172
FR,France,Europe & Central Asia,High income,2004,2.11574E+12,62704895
GB,United Kingdom,Europe & Central Asia,High income,2004,2.39856E+12,59987905
GE,Georgia,Europe & Central Asia,Lower middle income,2004,5125362833,3927340
GR,Greece,Europe & Central Asia,High income,2004,2.40521E+11,10955141
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,2004,1.69504E+11,6783500
HR,Croatia,Europe & Central Asia,High income,2004,41523418158,4304600
HU,Hungary,Europe & Central Asia,High income,2004,1.03685E+11,10107146
ID,Indonesia,East Asia & Pacific,Lower middle income,2004,2.52684E+11,223614649
IE,Ireland,Europe & Central Asia,High income,2004,1.9387E+11,4070262
IS,Iceland,Europe & Central Asia,High income,2004,13722824251,292074
IL,Israel,Middle East & North Africa,High income,2004,1.35445E+11,6809000
IT,Italy,Europe & Central Asia,High income,2004,1.80214E+12,57685327
JO,Jordan,Middle East & North Africa,Upper middle income,2004,11411390409,5535595
JP,Japan,East Asia & Pacific,High income,2004,4.81515E+12,127761000
KR,"Korea, Rep.",East Asia & Pacific,High income,2004,7.64881E+11,48082519
XK,Kosovo,Europe & Central Asia,Lower middle income,2004,3556757429,1704622
LB,Lebanon,Middle East & North Africa,Upper middle income,2004,21145518600,3863267
LT,Lithuania,Europe & Central Asia,High income,2004,22767876749,3377075
LU,Luxembourg,Europe & Central Asia,High income,2004,34685281848,458095
LV,Latvia,Europe & Central Asia,High income,2004,14373269156,2263122
MO,"Macao SAR, China",East Asia & Pacific,High income,2004,10585624891,471453
MD,Moldova,Europe & Central Asia,Lower middle income,2004,2598231467,3603945
MX,Mexico,Latin America & Caribbean,Upper middle income,2004,7.82241E+11,106995583
MK,FYROM,Europe & Central Asia,Upper middle income,2004,5693149108,2057047
MT,Malta,Middle East & North Africa,High income,2004,6062780269,401268
ME,Montenegro,Europe & Central Asia,Upper middle income,2004,2073234418,613353
NL,Netherlands,Europe & Central Asia,High income,2004,6.50533E+11,16281779
NO,Norway,Europe & Central Asia,High income,2004,2.64357E+11,4591910
NZ,New Zealand,East Asia & Pacific,High income,2004,1.03905E+11,4087500
PE,Peru,Latin America & Caribbean,Upper middle income,2004,66786902785,27273194
PL,Poland,Europe & Central Asia,High income,2004,2.55102E+11,38182222
PT,Portugal,Europe & Central Asia,High income,2004,1.89187E+11,10483861
AR,Argentina,Latin America & Caribbean,High income,2004,1.64658E+11,38728696
QA,Qatar,Middle East & North Africa,High income,2004,31734065934,758855
CN,China,East Asia & Pacific,Upper middle income,2004,1.95535E+12,1296075000
RO,Romania,Europe & Central Asia,Upper middle income,2004,76216441462,21451748
RU,Russian Federation,Europe & Central Asia,Upper middle income,2004,5.91017E+11,144067054
SG,Singapore,East Asia & Pacific,High income,2004,1.1337E+11,4166664
SK,Slovak Republic,Europe & Central Asia,High income,2004,57240535138,5372280
SI,Slovenia,Europe & Central Asia,High income,2004,34470227454,1997012
SE,Sweden,Europe & Central Asia,High income,2004,3.80964E+11,8993531
TH,Thailand,East Asia & Pacific,Upper middle income,2004,1.72895E+11,65002231
TT,Trinidad and Tobago,Latin America & Caribbean,High income,2004,13280275123,1290535
TN,Tunisia,Middle East & North Africa,Lower middle income,2004,31183139301,10017601
TR,Turkey,Europe & Central Asia,Upper middle income,2004,4.05709E+11,67007855
UY,Uruguay,Latin America & Caribbean,High income,2004,13686329890,3324096
US,United States,North America,High income,2004,1.22749E+13,292805298
VN,Vietnam,East Asia & Pacific,Lower middle income,2004,45427854693,83527678
AL,Albania,Europe & Central Asia,Upper middle income,2005,8052073539,3011487
AE,United Arab Emirates,Middle East & North Africa,High income,2005,1.80617E+11,4579562
AU,Australia,East Asia & Pacific,High income,2005,6.92642E+11,20394800
AT,Austria,Europe & Central Asia,High income,2005,3.15653E+11,8227829
BE,Belgium,Europe & Central Asia,High income,2005,3.87366E+11,10478617
BG,Bulgaria,Europe & Central Asia,Upper middle income,2005,29636617750,7658972
BR,Brazil,Latin America & Caribbean,Upper middle income,2005,8.9163E+11,186917361
CA,Canada,North America,High income,2005,1.16936E+12,32312000
CH,Switzerland,Europe & Central Asia,High income,2005,4.08689E+11,7437115
CL,Chile,Latin America & Caribbean,High income,2005,1.22965E+11,16147064
CO,Colombia,Latin America & Caribbean,Upper middle income,2005,1.45181E+11,43285634
CR,Costa Rica,Latin America & Caribbean,Upper middle income,2005,19952156489,4247841
CZ,Czech Republic,Europe & Central Asia,High income,2005,1.36352E+11,10211216
DE,Germany,Europe & Central Asia,High income,2005,2.86141E+12,82469422
DK,Denmark,Europe & Central Asia,High income,2005,2.64467E+11,5419432
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,2005,36119047252,9237566
DZ,Algeria,Middle East & North Africa,Upper middle income,2005,1.03198E+11,33288437
ES,Spain,Europe & Central Asia,High income,2005,1.15728E+12,43653155
EE,Estonia,Europe & Central Asia,High income,2005,14067570505,1354775
FI,Finland,Europe & Central Asia,High income,2005,2.04436E+11,5246096
FR,France,Europe & Central Asia,High income,2005,2.19613E+12,63179351
GB,United Kingdom,Europe & Central Asia,High income,2005,2.5207E+12,60401206
GE,Georgia,Europe & Central Asia,Lower middle income,2005,6410847045,3902469
GR,Greece,Europe & Central Asia,High income,2005,2.47783E+11,10987314
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,2005,1.8157E+11,6813200
HR,Croatia,Europe & Central Asia,High income,2005,45244261594,4310145
HU,Hungary,Europe & Central Asia,High income,2005,1.13035E+11,10087065
ID,Indonesia,East Asia & Pacific,Lower middle income,2005,2.85869E+11,226712730
IE,Ireland,Europe & Central Asia,High income,2005,2.11467E+11,4159914
IS,Iceland,Europe & Central Asia,High income,2005,16691490114,296734
IL,Israel,Middle East & North Africa,High income,2005,1.42463E+11,6930100
IT,Italy,Europe & Central Asia,High income,2005,1.85266E+12,57969484
JO,Jordan,Middle East & North Africa,Upper middle income,2005,12681317564,5714111
JP,Japan,East Asia & Pacific,High income,2005,4.75541E+12,127773000
KR,"Korea, Rep.",East Asia & Pacific,High income,2005,8.9381E+11,48184561
XK,Kosovo,Europe & Central Asia,Lower middle income,2005,3663101604,1705780
LB,Lebanon,Middle East & North Africa,Upper middle income,2005,21489962080,3986852
LT,Lithuania,Europe & Central Asia,High income,2005,26125575942,3322528
LU,Luxembourg,Europe & Central Asia,High income,2005,37347394603,465158
LV,Latvia,Europe & Central Asia,High income,2005,16922504045,2238799
MO,"Macao SAR, China",East Asia & Pacific,High income,2005,12092222042,482559
MD,Moldova,Europe & Central Asia,Lower middle income,2005,2988338439,3595187
MX,Mexico,Latin America & Caribbean,Upper middle income,2005,8.77476E+11,108472228
MK,FYROM,Europe & Central Asia,Upper middle income,2005,6258600714,2060272
MT,Malta,Middle East & North Africa,High income,2005,6394851387,403834
ME,Montenegro,Europe & Central Asia,Upper middle income,2005,2257174481,614261
NL,Netherlands,Europe & Central Asia,High income,2005,6.78534E+11,16319868
NO,Norway,Europe & Central Asia,High income,2005,3.08722E+11,4623291
NZ,New Zealand,East Asia & Pacific,High income,2005,1.14719E+11,4133900
PE,Peru,Latin America & Caribbean,Upper middle income,2005,76060606061,27610410
PL,Poland,Europe & Central Asia,High income,2005,3.06125E+11,38165445
PT,Portugal,Europe & Central Asia,High income,2005,1.97305E+11,10503330
AR,Argentina,Latin America & Caribbean,High income,2005,1.98737E+11,39145488
QA,Qatar,Middle East & North Africa,High income,2005,44530494505,864863
CN,China,East Asia & Pacific,Upper middle income,2005,2.29297E+12,1303720000
RO,Romania,Europe & Central Asia,Upper middle income,2005,99697566668,21319685
RU,Russian Federation,Europe & Central Asia,Upper middle income,2005,7.67197E+11,143518523
SG,Singapore,East Asia & Pacific,High income,2005,1.27418E+11,4265762
SK,Slovak Republic,Europe & Central Asia,High income,2005,62697540107,5372807
SI,Slovenia,Europe & Central Asia,High income,2005,36346974008,2000474
SE,Sweden,Europe & Central Asia,High income,2005,3.89042E+11,9029572
TH,Thailand,East Asia & Pacific,Upper middle income,2005,1.89318E+11,65425470
TT,Trinidad and Tobago,Latin America & Caribbean,High income,2005,15982282462,1296934
TN,Tunisia,Middle East & North Africa,Lower middle income,2005,32273007554,10102482
TR,Turkey,Europe & Central Asia,Upper middle income,2005,5.01416E+11,67903406
UY,Uruguay,Latin America & Caribbean,High income,2005,17362857684,3325612
US,United States,North America,High income,2005,1.30937E+13,295516599
VN,Vietnam,East Asia & Pacific,Lower middle income,2005,57064398942,84308843
AL,Albania,Europe & Central Asia,Upper middle income,2006,8896072919,2992547
AE,United Arab Emirates,Middle East & North Africa,High income,2006,2.22117E+11,5242032
AU,Australia,East Asia & Pacific,High income,2006,7.45522E+11,20697900
AT,Austria,Europe & Central Asia,High income,2006,3.35999E+11,8268641
BE,Belgium,Europe & Central Asia,High income,2006,4.10065E+11,10547958
BG,Bulgaria,Europe & Central Asia,Upper middle income,2006,34130122491,7601022
BR,Brazil,Latin America & Caribbean,Upper middle income,2006,1.10764E+12,189012412
CA,Canada,North America,High income,2006,1.31542E+12,32570505
CH,Switzerland,Europe & Central Asia,High income,2006,4.30921E+11,7483934
CL,Chile,Latin America & Caribbean,High income,2006,1.54788E+11,16319792
CO,Colombia,Latin America & Caribbean,Upper middle income,2006,1.6119E+11,43835722
CR,Costa Rica,Latin America & Caribbean,Upper middle income,2006,22600431883,4308794
CZ,Czech Republic,Europe & Central Asia,High income,2006,1.55464E+11,10238905
DE,Germany,Europe & Central Asia,High income,2006,3.0158E+12,82376451
DK,Denmark,Europe & Central Asia,High income,2006,2.82885E+11,5437272
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,2006,38116351526,9371338
DZ,Algeria,Middle East & North Africa,Upper middle income,2006,1.17027E+11,33777915
ES,Spain,Europe & Central Asia,High income,2006,1.26455E+12,44397319
EE,Estonia,Europe & Central Asia,High income,2006,16963625016,1346810
FI,Finland,Europe & Central Asia,High income,2006,2.16553E+11,5266268
FR,France,Europe & Central Asia,High income,2006,2.31859E+12,63621381
GB,United Kingdom,Europe & Central Asia,High income,2006,2.69261E+12,60846820
GE,Georgia,Europe & Central Asia,Lower middle income,2006,7745401718,3880347
GR,Greece,Europe & Central Asia,High income,2006,2.73318E+11,11020362
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,2006,1.93536E+11,6857100
HR,Croatia,Europe & Central Asia,High income,2006,50294203247,4311159
HU,Hungary,Europe & Central Asia,High income,2006,1.16195E+11,10071370
ID,Indonesia,East Asia & Pacific,Lower middle income,2006,3.64571E+11,229838202
IE,Ireland,Europe & Central Asia,High income,2006,2.31353E+11,4273591
IS,Iceland,Europe & Central Asia,High income,2006,17179950579,303782
IL,Israel,Middle East & North Africa,High income,2006,1.5467E+11,7053700
IT,Italy,Europe & Central Asia,High income,2006,1.94263E+12,58143979
JO,Jordan,Middle East & North Africa,Upper middle income,2006,15056929760,5934232
JP,Japan,East Asia & Pacific,High income,2006,4.53038E+12,127854000
KR,"Korea, Rep.",East Asia & Pacific,High income,2006,1.0118E+12,48438292
XK,Kosovo,Europe & Central Asia,Lower middle income,2006,3874345093,1719536
LB,Lebanon,Middle East & North Africa,Upper middle income,2006,22100536008,4057350
LT,Lithuania,Europe & Central Asia,High income,2006,30216060233,3269909
LU,Luxembourg,Europe & Central Asia,High income,2006,42269346123,472637
LV,Latvia,Europe & Central Asia,High income,2006,21447021570,2218357
MO,"Macao SAR, China",East Asia & Pacific,High income,2006,14789661809,493320
MD,Moldova,Europe & Central Asia,Lower middle income,2006,3408272498,3585209
MX,Mexico,Latin America & Caribbean,Upper middle income,2006,9.73463E+11,110092378
MK,FYROM,Europe & Central Asia,Upper middle income,2006,6861222332,2063145
MT,Malta,Middle East & North Africa,High income,2006,6757119558,405308
ME,Montenegro,Europe & Central Asia,Upper middle income,2006,2721904403,615025
NL,Netherlands,Europe & Central Asia,High income,2006,7.26649E+11,16346101
NO,Norway,Europe & Central Asia,High income,2006,3.45425E+11,4660677
NZ,New Zealand,East Asia & Pacific,High income,2006,1.11609E+11,4184600
PE,Peru,Latin America & Caribbean,Upper middle income,2006,88643193062,27949944
PL,Poland,Europe & Central Asia,High income,2006,3.44749E+11,38141267
PT,Portugal,Europe & Central Asia,High income,2006,2.08567E+11,10522288
AR,Argentina,Latin America & Caribbean,High income,2006,2.32557E+11,39558890
QA,Qatar,Middle East & North Africa,High income,2006,60882142857,1010382
CN,China,East Asia & Pacific,Upper middle income,2006,2.7655E+12,1311020000
RO,Romania,Europe & Central Asia,Upper middle income,2006,1.23533E+11,21193760
RU,Russian Federation,Europe & Central Asia,Upper middle income,2006,9.87682E+11,143049528
SG,Singapore,East Asia & Pacific,High income,2006,1.47797E+11,4401365
SK,Slovak Republic,Europe & Central Asia,High income,2006,70596729394,5373054
SI,Slovenia,Europe & Central Asia,High income,2006,39587732029,2006868
SE,Sweden,Europe & Central Asia,High income,2006,4.20032E+11,9080505
TH,Thailand,East Asia & Pacific,Upper middle income,2006,2.21758E+11,65824164
TT,Trinidad and Tobago,Latin America & Caribbean,High income,2006,18369361094,1303144
TN,Tunisia,Middle East & North Africa,Lower middle income,2006,34378437265,10196136
TR,Turkey,Europe & Central Asia,Upper middle income,2006,5.53561E+11,68763405
UY,Uruguay,Latin America & Caribbean,High income,2006,19579457966,3331043
US,United States,North America,High income,2006,1.38559E+13,298379912
VN,Vietnam,East Asia & Pacific,Lower middle income,2006,66371664817,85094617
AL,Albania,Europe & Central Asia,Upper middle income,2007,10677324144,2970017
AE,United Arab Emirates,Middle East & North Africa,High income,2007,2.57916E+11,6044067
AU,Australia,East Asia & Pacific,High income,2007,8.51963E+11,20827600
AT,Austria,Europe & Central Asia,High income,2007,3.88691E+11,8295487
BE,Belgium,Europe & Central Asia,High income,2007,4.71821E+11,10625700
BG,Bulgaria,Europe & Central Asia,Upper middle income,2007,44411476557,7545338
BR,Brazil,Latin America & Caribbean,Upper middle income,2007,1.39708E+12,191026637
CA,Canada,North America,High income,2007,1.46498E+12,32887928
CH,Switzerland,Europe & Central Asia,High income,2007,4.82017E+11,7551117
CL,Chile,Latin America & Caribbean,High income,2007,1.73606E+11,16491687
CO,Colombia,Latin America & Caribbean,Upper middle income,2007,2.05707E+11,44374572
CR,Costa Rica,Latin America & Caribbean,Upper middle income,2007,26743874206,4369469
CZ,Czech Republic,Europe & Central Asia,High income,2007,1.89227E+11,10298828
DE,Germany,Europe & Central Asia,High income,2007,3.43995E+12,82266372
DK,Denmark,Europe & Central Asia,High income,2007,3.19423E+11,5461438
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,2007,44049260727,9504353
DZ,Algeria,Middle East & North Africa,Upper middle income,2007,1.34977E+11,34300076
ES,Spain,Europe & Central Asia,High income,2007,1.47934E+12,45226803
EE,Estonia,Europe & Central Asia,High income,2007,22237061730,1340680
