ISO2,Country,Region,Income,Year,GDP,Population
CH,Switzerland,Europe & Central Asia,High income,1997,2.86519E+11,7088906
CL,Chile,Latin America & Caribbean,High income,1997,84263550829,14694835
CO,Colombia,Latin America & Caribbean,Upper middle income,1997,1.06341E+11,38645411
CR,Costa Rica,Latin America & Caribbean,Upper middle income,1997,12552071488,3682725
CZ,Czech Republic,Europe & Central Asia,High income,1997,61792161168,10304131
DE,Germany,Europe & Central Asia,High income,1997,2.21869E+12,82034771
DK,Denmark,Europe & Central Asia,High income,1997,1.73538E+11,5284991
DO,Dominican Republic,Latin America & Caribbean,Upper middle income,1997,19842462997,8163472
DZ,Algeria,Middle East & North Africa,Upper middle income,1997,48177862502,29886839
ES,Spain,Europe & Central Asia,High income,1997,5.88692E+11,40057389
EE,Estonia,Europe & Central Asia,High income,1997,5066240419,1399535
FI,Finland,Europe & Central Asia,High income,1997,1.26833E+11,5139835
FR,France,Europe & Central Asia,High income,1997,1.45288E+12,59964851
GB,United Kingdom,Europe & Central Asia,High income,1997,1.55248E+12,58316954
GE,Georgia,Europe & Central Asia,Lower middle income,1997,3480564158,4349913
GR,Greece,Europe & Central Asia,High income,1997,1.43158E+11,10661259
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,1997,1.77353E+11,6489300
HR,Croatia,Europe & Central Asia,High income,1997,23822087054,4534920
HU,Hungary,Europe & Central Asia,High income,1997,47290180589,10290486
ID,Indonesia,East Asia & Pacific,Lower middle income,1997,2.11072E+11,202826465
IE,Ireland,Europe & Central Asia,High income,1997,82826146132,3674171
IS,Iceland,Europe & Central Asia,High income,1997,7548912105,271128
IL,Israel,Middle East & North Africa,High income,1997,1.14725E+11,5836000
IT,Italy,Europe & Central Asia,High income,1997,1.23905E+12,56890372
JO,Jordan,Middle East & North Africa,Upper middle income,1997,7246188575,4832267
JP,Japan,East Asia & Pacific,High income,1997,4.41473E+12,126057000
KR,"Korea, Rep.",East Asia & Pacific,High income,1997,5.57503E+11,45953580
XK,Kosovo,Europe & Central Asia,Lower middle income,1997,1805918909,2086000
LB,Lebanon,Middle East & North Africa,Upper middle income,1997,15751867489,3092670
LT,Lithuania,Europe & Central Asia,High income,1997,10166201744,3575137
LU,Luxembourg,Europe & Central Asia,High income,1997,19731912494,419450
LV,Latvia,Europe & Central Asia,High income,1997,6478427826,2432851
MO,"Macao SAR, China",East Asia & Pacific,High income,1997,7280612968,401564
MD,Moldova,Europe & Central Asia,Lower middle income,1997,1930081169,3654208
MX,Mexico,Latin America & Caribbean,Upper middle income,1997,5.00413E+11,97281739
MK,FYROM,Europe & Central Asia,Upper middle income,1997,3928975904,1999599
MT,Malta,Middle East & North Africa,High income,1997,3705372039,382791
ME,Montenegro,Europe & Central Asia,Upper middle income,1997,1036148259,609520
NL,Netherlands,Europe & Central Asia,High income,1997,4.14194E+11,15610650
NO,Norway,Europe & Central Asia,High income,1997,1.61354E+11,4405157
NZ,New Zealand,East Asia & Pacific,High income,1997,66074513018,3781300
PE,Peru,Latin America & Caribbean,Upper middle income,1997,58147522523,24827406
PL,Poland,Europe & Central Asia,High income,1997,1.59118E+11,38649660
PT,Portugal,Europe & Central Asia,High income,1997,1.17046E+11,10108977
AR,Argentina,Latin America & Caribbean,High income,1997,2.92859E+11,35833969
QA,Qatar,Middle East & North Africa,High income,1997,11297802115,534608
CN,China,East Asia & Pacific,Upper middle income,1997,9.61604E+11,1230075000
RO,Romania,Europe & Central Asia,Upper middle income,1997,35838588170,22553978
RU,Russian Federation,Europe & Central Asia,Upper middle income,1997,4.0684E+11,147915307
SG,Singapore,East Asia & Pacific,High income,1997,99812094446,3796038
SK,Slovak Republic,Europe & Central Asia,High income,1997,27660149541,5383291
SI,Slovenia,Europe & Central Asia,High income,1997,20749140606,1985956
SE,Sweden,Europe & Central Asia,High income,1997,2.64478E+11,8846062
TH,Thailand,East Asia & Pacific,Upper middle income,1997,1.5018E+11,60863506
TT,Trinidad and Tobago,Latin America & Caribbean,High income,1997,5737751332,1260678
TN,Tunisia,Middle East & North Africa,Lower middle income,1997,20746360430,9384152
TR,Turkey,Europe & Central Asia,Upper middle income,1997,1.89835E+11,60372499
UY,Uruguay,Latin America & Caribbean,High income,1997,23969823010,3271010
US,United States,North America,High income,1997,8.60852E+12,272657000
VN,Vietnam,East Asia & Pacific,Lower middle income,1997,26843700442,77453335
AL,Albania,Europe & Central Asia,Upper middle income,1998,2545964541,3128530
AE,United Arab Emirates,Middle East & North Africa,High income,1998,75674336283,2838145
AU,Australia,East Asia & Pacific,High income,1998,3.98899E+11,18711000
AT,Austria,Europe & Central Asia,High income,1998,2.1826E+11,7976789
BE,Belgium,Europe & Central Asia,High income,1998,2.61456E+11,10203008
